Stasiun,Tanggal,Tn,Tx,Tavg,RR,Hari_hujan,Besok_hujan
Stasiun Klimatologi Bogor,05-03-2017,232,304,259,078,0,0
Stasiun Klimatologi Bogor,11-01-2017,228,321,26,072,0,0
Stasiun Klimatologi Bogor,13-01-2017,23,272,244,7,0,0
Stasiun Klimatologi Bogor,13-01-2017,23,272,244,7,0,0
Stasiun Klimatologi Bogor,01-03-2017,234,324,263,069,0,0
 Stasiun Klimatologi Bogor,24-03-2016,212,324,259,068,0,0
Stasiun Klimatologi Bogor,24-03-2016,212,324,259,068,0,0
Stasiun Klimatologi Bogor,15-02-2017,232,326,26,067,0,0
Stasiun Klimatologi Bogor,23-02-2017,236,331,265,065,0,0
Stasiun Klimatologi Bogor,14-03-2017,234,326,261,065,0,0
Stasiun Klimatologi Bogor,29-01-2017,23,314,265,058,0,0
Stasiun Klimatologi Bogor,02-01-2016,223,321,258,056,0,0
Stasiun Klimatologi Bogor,13-03-2016,218,317,261,054,0,0
Stasiun Klimatologi Bogor,13-02-2017,238,274,251,053,0,0
Stasiun Klimatologi Bogor,18-02-2017,243,298,261,048,0,0
Stasiun Klimatologi Bogor,21-02-2016,22,305,247,047,0,0
Stasiun Klimatologi Bogor,23-01-2017,224,316,251,046,0,0
Stasiun Klimatologi Bogor,22-02-2016,212,313,244,046,0,0
 Stasiun Klimatologi Bogor,20-03-2016,206,322,256,046,0,0
Stasiun Klimatologi Bogor,20-03-2016,206,322,256,046,0,0
Stasiun Klimatologi Bogor,04-02-2017,236,313,256,045,0,0
Stasiun Klimatologi Bogor,17-01-2016,224,288,251,044,0,0
Stasiun Klimatologi Bogor,07-02-2017,225,329,249,042,0,0
Stasiun Klimatologi Bogor,21-01-2017,223,31,255,038,0,0
Stasiun Klimatologi Bogor,06-01-2017,234,316,259,038,0,0
Stasiun Klimatologi Bogor,10-03-2017,237,301,263,031,0,0
Stasiun Klimatologi Bogor,16-01-2017,227,266,243,3,0,0
Stasiun Klimatologi Bogor,07-01-2017,23,322,255,3,0,0
Stasiun Klimatologi Bogor,20-01-2017,224,283,239,029,0,0
Stasiun Klimatologi Bogor,16-02-2017,236,315,256,028,0,0
Stasiun Klimatologi Bogor,03-01-2017,241,313,27,028,0,0
Stasiun Klimatologi Bogor,17-01-2017,226,276,242,026,0,0
Stasiun Klimatologi Bogor,19-01-2017,23,298,253,025,0,0
Stasiun Klimatologi Bogor,26-02-2017,223,334,264,025,0,0
Stasiun Klimatologi Bogor,26-01-2016,223,287,249,023,0,0
Stasiun Klimatologi Bogor,16-02-2016,226,286,251,023,0,0
Stasiun Klimatologi Bogor,28-01-2016,227,308,258,2,0,0
Stasiun Klimatologi Bogor,07-01-2016,218,285,25,2,0,0
Stasiun Klimatologi Bogor,26-02-2016,23,304,264,2,0,0
Stasiun Klimatologi Bogor,07-03-2017,234,332,26,019,0,0
Stasiun Klimatologi Bogor,03-02-2017,234,319,259,017,0,0
Stasiun Klimatologi Bogor,18-01-2016,23,292,257,016,0,0
Stasiun Klimatologi Bogor,20-02-2016,222,318,256,016,0,0
Stasiun Klimatologi Bogor,23-01-2016,224,308,264,015,0,0
Stasiun Klimatologi Bogor,30-01-2016,228,289,245,015,0,0
Stasiun Klimatologi Bogor,26-01-2017,24,29,261,011,0,0
Stasiun Klimatologi Bogor,11-01-2016,218,28,237,011,0,0
Stasiun Klimatologi Bogor,27-02-2016,236,304,263,011,0,0
Stasiun Klimatologi Bogor,05-03-2016,228,314,257,1,0,0
Stasiun Klimatologi Bogor,17-02-2016,22,318,258,009,0,0
Stasiun Klimatologi Bogor,01-02-2016,225,30,254,008,0,0
Stasiun Klimatologi Bogor,03-01-2016,212,315,258,008,0,0
Stasiun Klimatologi Bogor,02-03-2017,226,338,259,007,0,0
Stasiun Klimatologi Bogor,09-01-2017,226,294,25,007,0,0
Stasiun Klimatologi Bogor,21-02-2017,222,322,261,005,0,0
Stasiun Klimatologi Bogor,01-01-2016,232,301,262,005,0,0
Stasiun Klimatologi Bogor,01-01-2017,228,316,264,005,0,0
Stasiun Klimatologi Bogor,08-01-2016,221,29,249,004,0,0
Stasiun Klimatologi Bogor,10-01-2016,222,283,25,004,0,0
 Stasiun Klimatologi Bogor,17-03-2016,208,336,27,004,0,0
Stasiun Klimatologi Bogor,02-03-2016,226,318,276,004,0,0
Stasiun Klimatologi Bogor,17-03-2016,208,336,27,004,0,0
Stasiun Klimatologi Bogor,15-02-2016,228,296,254,003,0,0
Stasiun Klimatologi Bogor,18-02-2016,232,316,259,003,0,0
Stasiun Klimatologi Bogor,30-01-2017,238,30,262,002,0,0
Stasiun Klimatologi Bogor,28-02-2017,243,335,269,002,0,0
 Stasiun Klimatologi Bogor,25-03-2016,214,324,262,002,0,0
Stasiun Klimatologi Bogor,05-01-2017,236,326,26,002,0,0
Stasiun Klimatologi Bogor,25-03-2016,214,324,262,002,0,0
Stasiun Klimatologi Bogor,27-01-2016,222,295,255,001,0,0
Stasiun Klimatologi Bogor,24-01-2016,234,312,257,0,0,0
Stasiun Klimatologi Bogor,11-02-2016,224,304,253,0,0,0
Stasiun Klimatologi Bogor,27-01-2017,232,319,256,0,0,0
Stasiun Klimatologi Bogor,06-02-2017,235,316,259,0,0,0
Stasiun Klimatologi Bogor,22-02-2017,232,338,264,0,0,0
Stasiun Klimatologi Bogor,27-02-2017,236,336,268,0,0,0
Stasiun Klimatologi Bogor,06-03-2017,233,325,262,0,0,0
Stasiun Klimatologi Bogor,13-03-2017,222,321,254,0,0,0
Stasiun Klimatologi Bogor,04-01-2016,204,33,258,0,0,0
Stasiun Klimatologi Bogor,05-01-2016,198,32,252,0,0,0
Stasiun Klimatologi Bogor,06-01-2016,202,296,239,0,0,0
 Stasiun Klimatologi Bogor,18-03-2016,212,33,266,0,0,0
 Stasiun Klimatologi Bogor,19-03-2016,213,318,252,0,0,0
 Stasiun Klimatologi Bogor,21-03-2016,216,324,261,0,0,0
 Stasiun Klimatologi Bogor,22-03-2016,222,325,256,0,0,0
Stasiun Klimatologi Bogor,04-01-2017,238,319,266,0,0,0
Stasiun Klimatologi Bogor,03-03-2016,222,316,263,0,0,0
Stasiun Klimatologi Bogor,07-03-2016,226,324,263,0,0,0
Stasiun Klimatologi Bogor,09-03-2016,224,325,259,0,0,0
Stasiun Klimatologi Bogor,18-03-2016,212,33,266,0,0,0
Stasiun Klimatologi Bogor,19-03-2016,213,318,252,0,0,0
Stasiun Klimatologi Bogor,21-03-2016,216,324,261,0,0,0
Stasiun Klimatologi Bogor,22-03-2016,222,325,256,0,0,0
